id,title,price,description,long,latitude,review_airbnb,calification_rate,created_at,verified,host_review,created_at_1,cameras_on_site,rooms
975430687967330171,,,,,,,,,,,,,
744467227682977750,,,,,,,,,,,,,
992033851662434946,,,,,,,,,,,,,
955076831821160482,,,,,,,,,,,,,
955081159566180663,,,,,,,,,,,,,
690744438941413029,ETH504 Nuevo apartamento cercano a Centro Comercial Mayorca,141066,"Vivienda rentada entero en Itagüi, Colombia",-75.61267,6.17248,8,4.5,09/2019,True,2682,02/20,False,1
1032928824593501431,,,,,,,,,,,,,
1032742948454255809,,,,,,,,,,,,,
820949469223479218,,,,,,,,,,,,,
690730749215642706,,,,,,,,,,,,,
965423073000870658,,,,,,,,,,,,,
950694308259199149,,,,,,,,,,,,,
758788420204308487,,,,,,,,,,,,,
807414527650627337,,,,,,,,,,,,,
1047044539050002979,,,,,,,,,,,,,
758768512141567155,,,,,,,,,,,,,
758812294061470894,,,,,,,,,,,,,
888429460620250426,504,117555,"Loft entero en Medellín, Colombia",-75.58765,6.23864,56,4.71,09/2019,True,3578,02/20,True,1
958195348852122366,Apartamento Entero en Laureles-Estadio,120214,"Vivienda rentada entero en Medellín, Colombia",-75.59481622089882,6.254363832526385,14,4.36,09/2021,True,36,04/23,False,2
968868213404656943,,,,,,,,,,,,,
1045957767851831532,,,,,,,,,,,,,
1049992263905916146,,,,,,,,,,,,,
689172975692288620,,,,,,,,,,,,,
848544738479475919,,,,,,,,,,,,,
45158877,,,,,,,,,,,,,
785001262166081977,,,,,,,,,,,,,
903571578580448276,,,,,,,,,,,,,
910345349871129855,,,,,,,,,,,,,
906036061918643200,,,,,,,,,,,,,
1000687581543861399,,,,,,,,,,,,,
1000682651781756489,,,,,,,,,,,,,
1018297231018929146,,,,,,,,,,,,,
1022484913642515009,,,,,,,,,,,,,
729865994409088901,,,,,,,,,,,,,
765036300329008369,Nuevo departamento en el piso 24: vista a la ciudad,183817,"Vivienda rentada entero en Medellín, Colombia",-75.55882,6.20309,28,4.46,10/2015,True,7297,02/16,False,1
32066546,,,,,,,,,,,,,
909040465664207172,,,,,,,,,,,,,
910997294136012916,,,,,,,,,,,,,
894451778732458292,,,,,,,,,,,,,
945007283707939775,,,,,,,,,,,,,
1030366512494627739,,,,,,,,,,,,,
740709037729369262,,,,,,,,,,,,,
917268379032870963,,,,,,,,,,,,,
556448166842109698,,,,,,,,,,,,,
1028930746585409268,,,,,,,,,,,,,
1029805360280118556,,,,,,,,,,,,,
1030361071845893167,,,,,,,,,,,,,
902906075391424566,,,,,,,,,,,,,
909042617153922493,,,,,,,,,,,,,
848559895918338255,,,,,,,,,,,,,
785023290794491319,,,,,,,,,,,,,
53152686,"Loft moderno con cocina americana, aire acondicionado, GIMNASIO y trabajo conjunto",217320,"Vivienda rentada entero en Medellín, Colombia",-75.57835,6.19705,60,4.72,10/2015,True,7297,02/16,False,1
1040612917887181183,,,,,,,,,,,,,
1030558830848944619,,,,,,,,,,,,,
911003123540552458,,,,,,,,,,,,,
29978040,,,,,,,,,,,,,
775334196615924617,,,,,,,,,,,,,
928146179675131707,,,,,,,,,,,,,
1030520789844800415,,,,,,,,,,,,,
878506337483363759,,,,,,,,,,,,,
38350067,,,,,,,,,,,,,
871175321882586758,,,,,,,,,,,,,
1053064430597182549,,,,,,,,,,,,,
1060357659618335064,,,,,,,,,,,,,
884136500625247012,,,,,,,,,,,,,
1056562143229930966,,,,,,,,,,,,,
862660232830261482,,,,,,,,,,,,,
53011820,,,,,,,,,,,,,
53462526,,,,,,,,,,,,,
996277583652237567,,,,,,,,,,,,,
1011520063026085938,,,,,,,,,,,,,
53270035,,,,,,,,,,,,,
766212643887976488,,,,,,,,,,,,,
706523520969027060,,,,,,,,,,,,,
1006587638339930145,,,,,,,,,,,,,
1000665455074331424,,,,,,,,,,,,,
973887423667209866,,,,,,,,,,,,,
973945060732020074,,,,,,,,,,,,,
